epoch	lr	train_loss	val_loss	train_acc1	val_acc1	train_acc5	val_acc5
0	0.100	4.9878	4.4402	27.7820	34.3000	58.7380	67.2300
1	0.100	4.8036	4.2213	30.1580	38.0200	61.2720	71.3100
2	0.100	4.6603	4.0171	31.9760	40.7400	63.3300	72.7000
3	0.100	4.5134	4.1807	33.5160	37.8500	65.0660	69.8900
4	0.100	4.3784	3.7743	35.3660	42.7200	66.8720	75.0000
5	0.100	4.2604	3.6550	36.6480	44.5100	68.3140	76.3000
6	0.100	4.1434	3.6186	38.4140	45.9700	69.9120	76.6300
7	0.100	4.0550	3.5709	39.5620	46.1500	70.8520	78.1200
8	0.100	3.9654	3.5593	40.5720	46.6000	71.8940	77.1100
9	0.100	3.8979	3.3454	41.3880	48.7200	72.7880	80.1900
10	0.100	3.8095	3.3565	43.0040	48.2500	73.6780	80.6600
11	0.100	3.7406	3.4417	43.6120	48.8900	74.3960	80.1600
12	0.100	3.6775	3.4756	44.4200	48.2800	75.1780	79.4800
13	0.100	3.6146	3.1585	45.2140	52.5300	75.9740	82.1100
14	0.100	3.5725	3.3194	45.7080	50.1300	76.3380	80.0800
15	0.100	3.5243	3.0849	46.5420	51.6900	76.7440	82.4500
16	0.100	3.4731	2.9182	47.1860	54.6400	77.4140	84.0900
17	0.100	3.4304	3.0553	47.8200	52.4300	77.8440	81.8100
18	0.100	3.3843	2.9417	48.1440	55.1000	78.1460	84.3700
19	0.100	3.3606	2.8524	48.9420	56.0500	78.2900	85.0100
20	0.100	3.3099	2.9320	49.4100	54.3000	79.0800	83.7200
21	0.100	3.2880	2.8813	49.7500	55.4100	78.9860	84.6800
22	0.100	3.2478	3.0397	50.5440	53.9400	79.4600	83.5400
23	0.100	3.2097	2.6862	51.0860	57.5100	80.0280	85.8700
24	0.100	3.1863	2.8520	51.1920	55.9100	80.2220	84.2800
25	0.100	3.1765	2.6853	51.2980	57.6700	80.3860	86.3800
26	0.100	3.1240	2.7360	52.1800	57.3300	80.7300	85.5200
27	0.100	3.1300	2.5565	51.9160	59.5100	80.6220	86.8400
28	0.100	3.0829	2.5798	52.7240	59.6200	81.4220	86.7500
29	0.100	3.0970	2.5436	52.5140	61.0200	81.0120	87.7600
30	0.100	3.0546	2.7503	53.1780	56.3200	81.2760	85.3500
31	0.100	3.0499	2.6258	53.2120	58.9300	81.5420	86.9300
