epoch	lr	train_loss	val_loss	train_acc1	val_acc1	train_acc5	val_acc5
0	0.100	7.7818	6.7618	7.4570	13.3480	19.9527	32.3400
1	0.100	6.3468	6.1507	18.2726	18.4520	39.7205	41.1400
2	0.100	5.8529	5.6303	22.9152	23.8860	46.3471	48.8960
3	0.100	5.6192	5.5835	25.2078	23.8660	49.3708	48.4980
4	0.100	5.4953	5.6660	26.4499	22.7220	51.0222	47.2980
5	0.100	5.4147	5.5202	27.2820	25.0040	52.0135	49.7920
6	0.100	5.3569	5.5715	27.9103	23.9740	52.7820	48.7840
7	0.100	5.3139	5.4631	28.3844	24.9700	53.3060	50.0140
8	0.100	5.2859	5.4392	28.6951	25.2740	53.6761	50.4740
9	0.100	5.2632	5.4377	28.8997	25.5460	53.9597	51.1240
10	0.100	5.2445	5.3607	29.0615	26.4680	54.2273	51.7220
11	0.100	5.2252	5.3121	29.3200	26.3400	54.4365	52.3880
12	0.100	5.2147	5.4912	29.4499	24.9340	54.6340	50.0000
13	0.100	5.1989	5.2667	29.6197	27.6960	54.8449	53.7120
14	0.100	5.1903	5.1549	29.6872	28.8920	54.9466	55.3340
15	0.100	5.1773	5.4117	29.8755	26.2240	55.1329	51.3620
16	0.100	5.1681	5.3501	29.9810	26.7360	55.2990	52.0960
17	0.100	5.1610	5.1538	30.0908	28.4620	55.3331	54.5880
18	0.100	5.1498	5.8695	30.2327	22.0420	55.5121	44.8440
19	0.100	5.1434	5.1670	30.2951	28.5680	55.5399	54.0920
20	0.100	5.1382	5.3899	30.3057	26.1900	55.6422	51.5780
21	0.100	5.1357	5.1201	30.3629	28.8160	55.6396	55.2080
